age,wage
18,75.04315402
24,70.47601965
45,130.9821774
43,154.685293
50,75.04315402
54,127.1157438
44,169.528538
30,111.7208494
41,118.8843593
52,128.6804882
45,117.1468169
34,81.28325328
35,89.49247952
39,134.7053751
54,134.7053751
51,90.48191336
37,82.6796373
50,212.8423523
56,129.156693
37,98.59934386
38,200.5432623
40,50.40666086
75,85.38394038
40,160.6424754
38,94.07271475
49,277.6014175
43,84.04595765
34,65.11085372
57,116.2653241
18,70.47601965
55,195.676308
51,101.4020523
33,81.28325328
34,111.7208494
36,89.88004678
56,87.98103279
70,87.98103279
25,103.9024706
32,105.9278108
27,66.22940829
28,34.60741773
27,109.8339856
43,45.28216999
50,73.77574327
39,81.28325328
52,154.685293
35,267.9010869
57,176.9896505
25,66.22940829
33,116.2653241
57,200.5432623
71,101.8243521
43,272.2947832
23,35.03342132
30,114.4757133
22,81.28325328
59,200.5432623
28,148.4131591
61,99.6894637
34,111.7208494
43,152.838801
54,117.1468169
69,77.7376033
41,87.98103279
48,125.5254984
49,123.336104
42,158.2946214
37,200.5432623
55,99.6894637
21,70.47601965
58,94.07271475
31,81.28325328
25,81.28325328
32,100.7642728
40,94.07271475
44,99.6894637
60,268.266292
23,81.28325328
63,113.5670896
44,87.98103279
47,128.6804882
61,106.7239776
55,66.04469423
24,51.52195631
42,85.38394038
25,76.89360252
34,90.48191336
53,68.07642829
53,130.9821774
70,127.901233
47,131.2245938
46,99.6894637
33,76.89360252
34,107.9039239
22,81.28325328
74,99.6894637
40,98.59934386
45,200.5432623
43,156.5035109
33,144.944365
62,118.8843593
37,121.4303138
54,111.7208494
34,68.74808773
50,114.4757133
46,95.23071257
41,87.98103279
63,64.27439722
38,128.6804882
35,114.4757133
29,112.6488963
66,81.28325328
37,75.89548482
39,112.136923
42,85.38394038
51,94.07271475
55,114.4757133
51,176.9896505
38,276.7784133
49,101.8243521
42,91.69922611
43,86.69515483
38,162.9464607
59,139.2137881
57,95.23071257
25,66.96164432
49,131.1943236
41,90.48191336
38,114.4757133
61,79.1280845
49,104.5917379
52,132.4878211
43,141.7751723
60,123.0896998
46,134.7053751
21,55.76739051
61,106.9218141
32,118.8843593
58,87.98103279
35,88.92960664
26,81.28325328
32,94.07271475
37,106.9218141
22,59.09706408
51,65.11085372
44,120.5894365
35,157.7005277
